Episode,Steps,Foods,C1,C2,Eat,Actor,Alpha,Reward,EatEps,PRBBeta,Stuck,OnFoodWaitMax
1,26,2,0.0,0.0,0.0,0.0,0.20000000298023224,-90.61000000000003,0.22399999999999998,0.4,26,0
2,9,0,0.0,0.0,0.0,0.0,0.20000000298023224,-100.09,0.21499999999999997,0.4,9,0
3,38,2,0.0,0.0,0.0,0.0,0.20000000298023224,-104.67999999999995,0.17699999999999994,0.4,38,1
4,21,1,0.0,0.0,0.0,0.0,0.20000000298023224,-99.21000000000001,0.15599999999999992,0.4,21,1
5,31,1,0.0,0.0,0.0,0.0,0.20000000298023224,-99.30999999999999,0.12499999999999989,0.4,31,1
6,28,2,0.0,0.0,0.0,0.0,0.20000000298023224,-92.45999999999998,0.09699999999999986,0.4,28,1
7,14,0,0.0,0.0,0.0,0.0,0.20000000298023224,-100.13999999999999,0.08299999999999985,0.4,14,0
8,18,2,0.0,0.0,0.0,0.0,0.20000000298023224,-99.17999999999998,0.06499999999999984,0.4,18,1
9,14,1,0.0,0.0,0.0,0.0,0.20000000298023224,-100.13999999999999,0.05099999999999982,0.4,14,0
10,21,0,0.0,0.0,0.0,0.0,0.20000000298023224,-100.80999999999997,0.029999999999999805,0.4,21,0
11,13,0,0.0,0.0,0.0,0.0,0.20000000298023224,-100.13,0.02,0.4,13,0
12,36,3,0.0,0.0,0.0,0.0,0.20000000298023224,-99.35999999999999,0.02,0.4,36,1
13,16,1,0.0,0.0,0.0,0.0,0.20000000298023224,-109.15999999999998,0.02,0.4,16,1
14,40,3,0.0,0.0,0.0,0.0,0.20000000298023224,-94.35999999999999,0.02,0.4,40,1
15,15,1,0.0,0.0,0.0,0.0,0.20000000298023224,-92.95,0.02,0.4,15,0
16,26,2,0.0,0.0,0.0,0.0,0.20000000298023224,-99.25999999999999,0.02,0.4,26,1
17,21,1,0.0,0.0,0.0,0.0,0.20000000298023224,-90.21000000000001,0.02,0.4,21,0
18,25,0,0.0,0.0,0.0,0.0,0.20000000298023224,-100.4,0.02,0.4,25,0
19,35,1,0.0,0.0,0.0,0.0,0.20000000298023224,-94.6,0.02,0.4,35,0
20,24,3,0.0,0.0,0.0,0.0,0.20000000298023224,-81.46,0.02,0.4,24,1
21,26,0,0.0,0.0,0.0,0.0,0.20000000298023224,-103.05999999999999,0.02,0.4,26,0
22,51,2,0.0,0.0,0.0,0.0,0.20000000298023224,-101.10999999999999,0.02,0.4,51,2
23,15,1,0.0,0.0,0.0,0.0,0.20000000298023224,-99.14999999999999,0.02,0.4,15,1
24,63,6,0.0,0.0,0.0,0.0,0.20000000298023224,-71.28,0.02,0.4,63,1
25,19,1,0.0,0.0,0.0,0.0,0.20000000298023224,-90.34,0.02,0.4,19,0
26,12,0,0.0,0.0,0.0,0.0,0.20000000298023224,-100.11999999999999,0.02,0.4,12,0
27,36,2,0.0,0.0,0.0,0.0,0.20000000298023224,-80.56000000000002,0.02,0.4,36,0
28,23,1,0.0,0.0,0.0,0.0,0.20000000298023224,-90.22999999999999,0.02,0.4,23,0
